step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,amount_category,Target
-1.0433383449272955,0,8.857144632588087,325,-0.46047758534553146,1.5538889470053314,64,1.976931940746767,0.0,0.0,0.0,2,0
-1.0433383449272955,2,-0.5441424625971394,42,1.8979228317468937,1.9500886675625377,57,13.085324678144055,0.0,0.0,0.0,0,1
-1.0433383449272955,2,-0.5512105723041792,380,0.67341167429114,0.7021485389686102,113,6.288777560055823,0.0,0.0,0.0,0,0
-1.0433383449272955,3,0.03272218632160653,315,-0.4775079045694559,-0.5787490130791823,342,-0.10966428127535108,0.0,0.0,0.0,2,2
-1.0433383449272955,3,-0.4389532786153494,491,1.896182067979514,1.927303684019006,393,-0.10966428127535108,0.0,0.0,0.0,1,0
-1.0433383449272955,3,-0.5762125517617027,432,-0.632167677832952,-0.5787490130791823,409,-0.10966428127535108,0.0,0.0,0.0,0,0
-1.0433383449272955,3,-0.07817545477764683,23,-0.11003175547399065,-0.19166711485875582,311,-0.10966428127535108,0.0,0.0,0.0,1,1
-1.0433383449272955,3,-0.39043087217722067,256,2.7215406825833024,2.7597142920542788,363,-0.10966428127535108,0.0,0.0,0.0,1,2
-1.0433383449272955,3,-0.7610575817844765,316,-0.13832921152291225,-0.0841471052500928,278,-0.10966428127535108,0.0,0.0,0.0,0,2
-1.0433383449272955,3,-0.46946888374646584,430,-0.4097457940468518,-0.4193084406633113,281,-0.10966428127535108,0.0,0.0,0.0,1,0
-1.0433383449272955,3,-0.4199139748437621,135,2.87567017045779,2.9228591358645497,228,-0.10966428127535108,0.0,0.0,0.0,1,1
-1.0433383449272955,3,-0.4046639863735463,136,-0.46620874666519946,-0.48986023378088356,417,-0.10966428127535108,0.0,0.0,0.0,1,1
-1.0433383449272955,3,-0.8388317936670119,69,-0.21473109872389556,-0.14656514992696476,192,-0.10966428127535108,0.0,0.0,0.0,0,1
-1.0433383449272955,3,-0.7709325145385043,193,-0.4756926968916963,-0.4263821611009177,426,-0.10966428127535108,0.0,0.0,0.0,0,2
-1.0433383449272955,3,-0.8478263383457967,0,-0.6454859993338176,-0.5787490130791823,268,-0.10966428127535108,0.0,0.0,0.0,0,1
-1.0433383449272955,3,-0.056340788632240395,257,2.9459172798956557,2.921915224003137,389,-0.10966428127535108,0.0,0.0,0.0,1,2
-1.0433383449272955,3,0.03959963210229212,117,-0.20967299193643057,-0.31685259310476416,232,-0.10966428127535108,0.0,0.0,0.0,2,1
-1.0433383449272955,3,-0.39699992166172643,179,0.4154518993369647,0.4081553700241898,356,-0.10966428127535108,0.0,0.0,0.0,1,2
-1.0433383449272955,3,1.313405528367903,488,-0.643711378883909,-0.5787490130791823,302,-0.10966428127535108,0.0,0.0,0.0,2,0
-1.0433383449272955,3,-0.6414623316294492,266,-0.015058254170337983,0.01773794199190822,222,-0.10966428127535108,0.0,0.0,0.0,0,2
-1.0433383449272955,3,-0.41142890918130137,208,0.10898773567386398,0.0983560473634377,218,-0.10966428127535108,0.0,0.0,0.0,1,2
-1.0433383449272955,3,0.52755654609466,410,-0.6454859993338176,-0.5787490130791823,244,-0.10966428127535108,0.0,0.0,0.0,2,0
-1.0433383449272955,3,0.015471789443737921,221,0.17156141157685834,0.07693470015761182,406,-0.10966428127535108,0.0,0.0,0.0,2,2
-1.0433383449272955,3,-0.24125041517651136,356,-0.5250704248451348,-0.5787490130791823,234,-0.10966428127535108,0.0,0.0,0.0,1,0
-1.0433383449272955,3,-0.47634216200963553,54,1.0714557167241585,1.0933140629316185,210,-0.10966428127535108,0.0,0.0,0.0,1,1
-1.0433383449272955,3,-0.4357620020775158,447,-0.4595924166577251,-0.4768987174423083,367,-0.10966428127535108,0.0,0.0,0.0,1,0
-1.0433383449272955,3,-0.8334890362115724,66,-0.4308166839791016,-0.36810163836859094,295,-0.10966428127535108,0.0,0.0,0.0,0,1
-1.0433383449272955,3,-0.29089700946456587,31,-0.6425898252861562,-0.5787490130791823,400,-0.10966428127535108,0.0,0.0,0.0,1,1
-1.0433383449272955,3,-0.6533168352035502,276,-0.640917386751591,-0.5787490130791823,387,-0.10966428127535108,0.0,0.0,0.0,0,2
-1.0433383449272955,3,-0.2853219129076126,405,-0.11336500705574631,-0.1536946394075294,310,-0.10966428127535108,0.0,0.0,0.0,1,0
-1.0433383449272955,3,-0.25584506151734504,261,-0.49167080753027675,-0.5455622706501685,243,-0.10966428127535108,0.0,0.0,0.0,1,2
-1.0433383449272955,3,-0.8420334889986354,47,-0.3093258538862449,-0.24243941804266742,255,-0.10966428127535108,0.0,0.0,0.0,0,1
-1.0433383449272955,3,-0.07691999012596885,35,-0.6428549679806603,-0.5787490130791823,209,-0.10966428127535108,0.0,0.0,0.0,1,1
-1.0433383449272955,3,-0.07608648662278018,210,-0.6220781824833913,-0.5787490130791823,381,-0.10966428127535108,0.0,0.0,0.0,1,2
-1.0433383449272955,3,-0.3381264435933732,150,-0.6114677837170892,-0.5787490130791823,329,-0.10966428127535108,0.0,0.0,0.0,1,1
-1.0433383449272955,3,-0.5760583536136128,393,-0.6454859993338176,-0.5787490130791823,263,-0.10966428127535108,0.0,0.0,0.0,0,0
-1.0433383449272955,3,-0.193945965732417,16,-0.6454859993338176,-0.5787490130791823,199,-0.10966428127535108,0.0,0.0,0.0,1,1
-1.0433383449272955,3,-0.6676280903532998,466,0.5591388441663634,0.6088094732796235,399,-0.10966428127535108,0.0,0.0,0.0,0,0
-1.0433383449272955,3,0.14974295253115977,63,2.824538421602247,2.7569131462062915,322,-0.10966428127535108,0.0,0.0,0.0,2,1
-1.0433383449272955,3,-0.5949997207235755,189,-0.40853001281459056,-0.3929958570592288,270,-0.10966428127535108,0.0,0.0,0.0,0,2
